Pair,Type,Start,End,NetPL,MaxDD,TotalVolume,CostAdjPL,NumTxn,RefEx,Param
LTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,4.87,0.92,6.4000,5.22,32,BINANCE,"{""pbfactor"":0.8,""widener"":15.5}"
LTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-3.74,3.81,35.6455,-1.72,193,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
,,,,,,,,,,
XRPUSDT,REAL,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-2.87,6.72,19918.5800,0.97,383,,
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-11.72,13.24,24184.7100,-7.05,478,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-10.22,12.95,29530.9000,-4.51,597,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.85,5.91,15514.7400,3.85,303,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-7.31,9.67,18558.8800,-3.73,364,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.17,5.84,8045.6000,1.73,161,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-2.54,5.46,10971.5300,-0.43,215,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-4.67,6.01,5367.6500,-3.64,107,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-3.66,6.74,7063.9300,-2.31,140,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-2.28,4.42,2298.5300,-1.83,46,BINANCE,"{""pbfactor"":0.8,""widener"":15.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-2.85,2.89,2614.0600,-2.38,51,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,1.70,3.69,1111.2900,1.92,21,BINANCE,"{""pbfactor"":0.8,""widener"":20.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.96,1.65,1303.2000,-0.72,24,FCOIN,"{""pbfactor"":0.8,""widener"":20.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.78,0.78,597.3000,-0.66,11,BINANCE,"{""pbfactor"":0.8,""widener"":25.5}"
XRPUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.08,0.20,380.1000,-0.01,7,FCOIN,"{""pbfactor"":0.8,""widener"":25.5}"
,,,,,,,,,,
ETHUSDT,REAL,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,2.41,7.38,21.9534,4.94,282,,
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-9.81,12.00,44.0114,-4.73,507,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-15.26,17.98,106.4440,-2.96,1215,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-7.95,9.94,28.5814,-4.66,329,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-14.77,16.35,97.0828,-3.56,1107,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-2.04,5.22,15.7190,-0.22,179,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-15.08,15.70,80.8825,-5.73,925,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.39,3.72,10.3671,0.80,119,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-14.51,14.68,70.0023,-6.42,801,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.53,2.75,4.9603,1.11,58,BINANCE,"{""pbfactor"":0.8,""widener"":15.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-10.02,10.21,53.7671,-3.89,610,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-1.24,2.27,2.2250,-0.98,25,BINANCE,"{""pbfactor"":0.8,""widener"":20.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-5.63,5.97,33.0117,-1.87,382,FCOIN,"{""pbfactor"":0.8,""widener"":20.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.40,0.92,0.8510,-0.30,10,BINANCE,"{""pbfactor"":0.8,""widener"":25.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-1.74,2.04,12.4949,-0.32,144,FCOIN,"{""pbfactor"":0.8,""widener"":25.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.68,0.68,0.1780,-0.66,2,BINANCE,"{""pbfactor"":0.8,""widener"":30.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.79,1.14,9.7660,0.32,110,FCOIN,"{""pbfactor"":0.8,""widener"":30.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.32,0.32,0.1780,-0.29,2,BINANCE,"{""pbfactor"":0.8,""widener"":35.5}"
