Time,Z19_B,Z19_D,H20_B,H20_D,B,D
2019-10-05 07:13:00+00:00,8131.0,8144.112068965517,8195.3778,8212.43525179856,8114.47,8120.957796610173
2019-10-05 07:18:00+00:00,8132.7261,8137.436548223351,8195.3778,8207.0,8113.56,8113.828644067798
2019-10-05 07:19:00+00:00,8130.0813,8145.894444444444,8194.7062,8209.25,8113.22,8114.97233333334
2019-10-05 07:20:00+00:00,8130.0813,8148.333333333333,8194.7062,8214.517857142857,8118.24,8119.406101694921
2019-10-05 07:22:00+00:00,8134.5,8151.1511627906975,8200.082,8218.971014492754,8119.25,8121.428833333329
2019-10-05 07:23:00+00:00,8136.6965,8153.5,8202.7725,8221.278723404255,8124.56,8125.692203389827
2019-10-05 07:36:00+00:00,8134.7108,8141.467391304348,8202.0997,8216.75,8116.24,8119.98833333333
2019-10-05 07:39:00+00:00,8134.5,8144.821428571428,8202.0997,8218.65873015873,8119.29,8123.685762711858
2019-10-05 07:49:00+00:00,8138.5,8150.538461538462,8205.5,8224.25,8123.61,8127.585254237288
2019-10-05 07:57:00+00:00,8146.6395,8148.022569444444,8210.0,8220.0,8126.51,8127.234666666673
2019-10-05 08:00:00+00:00,8141.3336,8141.306306306306,8205.0,8214.228813559323,8124.4,8120.516666666668
2019-10-05 08:01:00+00:00,8132.0647,8128.252701579385,8200.082,8201.461115475255,8116.78,8113.885762711866
2019-10-05 08:02:00+00:00,8122.1572,8131.092342342342,8192.021,8207.678942398488,8104.17,8111.176166666666
2019-10-05 08:03:00+00:00,8121.4976,8133.898658718331,8196.0495,8203.316027088036,8113.23,8109.528644067794
2019-10-05 08:06:00+00:00,8125.4571,8139.115384615385,8192.5,8207.25,8113.09,8114.401666666674
2019-10-05 08:07:00+00:00,8125.5,8137.678571428572,8192.5,8208.33695652174,8112.81,8117.977333333331
2019-10-05 08:09:00+00:00,8130.0,8138.01622418879,8198.0,8210.580985915492,8113.39,8113.300833333331
2019-10-05 08:10:00+00:00,8128.0988,8139.832608695652,8198.0,8210.400709219859,8111.85,8114.416779661018
2019-10-05 08:11:00+00:00,8127.4382,8137.5,8198.7374,8202.347280334729,8111.52,8109.410000000001
2019-10-05 08:13:00+00:00,8122.1572,8135.530487804878,8196.0495,8201.235294117647,8102.5,8107.46186440678
2019-10-05 08:14:00+00:00,8122.816999999999,8141.064516129032,8195.3778,8209.166666666666,8106.58,8111.785333333333
2019-10-05 08:16:00+00:00,8127.0,8136.208333333333,8196.0495,8206.861940298508,8105.79,8109.480166666667
2019-10-05 08:17:00+00:00,8127.5,8127.861563517915,8195.3778,8202.777070063694,8106.03,8104.32457627119
2019-10-05 08:18:00+00:00,8123.4768,8125.439655172414,8193.3634,8196.990384615385,8099.06,8100.917333333334
2019-10-05 08:20:00+00:00,8116.2243,8117.170212765957,8190.0,8188.055555555556,8099.43,8098.048305084752
2019-10-05 08:21:00+00:00,8112.932,8118.36875,8186.6558,8188.0,8090.4,8095.751999999993
2019-10-05 08:22:00+00:00,8107.5,8119.411764705882,8183.3061,8190.973958333333,8091.82,8095.835423728814
2019-10-05 08:23:00+00:00,8108.3273,8125.653290529695,8181.2976,8199.771889400921,8091.43,8101.33166666666
2019-10-05 08:24:00+00:00,8113.5903,8125.97,8183.9758,8197.23076923077,8097.82,8097.891525423728
2019-10-05 08:30:00+00:00,8115.5,8123.642857142857,8183.3061,8190.825819672131,8093.08,8093.65316666667
2019-10-05 08:32:00+00:00,8101.1017,8113.756684491978,8171.9376,8187.5,8082.73,8086.6084745762655
2019-10-05 08:33:00+00:00,8101.1017,8118.071428571428,8165.9317,8188.0,8081.59,8090.5938333333315
2019-10-05 08:35:00+00:00,8108.5,8125.874371859297,8176.6149,8189.75,8086.11,8089.72483333333
2019-10-05 08:36:00+00:00,8108.3273,8124.370967741936,8176.5,8186.438524590164,8089.85,8089.901864406778
2019-10-05 08:38:00+00:00,8109.5,8119.9324324324325,8174.6097,8189.5,8085.27,8088.41966666666
2019-10-05 08:40:00+00:00,8105.6983,8121.476744186047,8173.2734,8188.98125,8084.91,8090.366166666669
2019-10-05 08:43:00+00:00,8109.6424,8117.0284974093265,8171.2698,8184.09375,8086.62,8088.030000000001
2019-10-05 08:44:00+00:00,8105.0413,8117.831015719468,8167.9327,8187.865384615385,8086.96,8089.874237288129
2019-10-05 08:47:00+00:00,8107.5,8118.068759342302,8172.6054,8188.449494949495,8089.74,8090.960666666672
2019-10-05 08:48:00+00:00,8107.5,8128.620981387478,8173.5,8194.300259824618,8088.64,8096.074576271187
2019-10-05 08:49:00+00:00,8112.2739,8135.179245283019,8174.6097,8201.416666666666,8094.52,8103.202166666667
2019-10-05 08:50:00+00:00,8121.4976,8135.5,8179.9591,8203.0,8102.56,8105.720166666665
2019-10-05 08:51:00+00:00,8123.0,8133.0,8183.3061,8197.568922305765,8103.42,8103.880000000008
2019-10-05 08:53:00+00:00,8122.0,8131.992569002123,8181.5,8197.607655502392,8097.16,8104.024576271196
2019-10-05 08:54:00+00:00,8123.0,8133.529239766081,8181.9669,8199.5,8099.54,8103.120500000002
2019-10-05 08:59:00+00:00,8127.0,8137.4607843137255,8185.9856,8200.498722161372,8105.01,8104.62416666667
2019-10-05 09:03:00+00:00,8122.816999999999,8138.435064935065,8183.5,8199.65625,8099.5,8102.852203389834
2019-10-05 09:05:00+00:00,8123.0,8139.266666666666,8188.6669,8205.980676328503,8103.05,8105.70627118644
2019-10-05 09:12:00+00:00,8126.1173,8140.670731707317,8187.5,8209.5,8103.78,8107.896440677972
2019-10-05 09:22:00+00:00,8129.5,8141.438596491228,8187.5,8208.0,8107.72,8109.372711864408
2019-10-05 09:25:00+00:00,8128.7596,8141.0,8187.9964,8208.0,8104.69,8106.745166666665
2019-10-05 09:36:00+00:00,8111.6158,8126.0,8183.5,8199.502551020409,8097.48,8097.990338983054
2019-10-05 09:38:00+00:00,8111.6158,8128.5,8183.5,8202.207547169812,8099.89,8101.544406779667
2019-10-05 09:39:00+00:00,8112.2739,8126.063981042654,8183.5,8201.125,8100.77,8099.715499999999
