Time,v60,spread60,v10,spread10,v2,spread2
2019-06-19 00:01:01.999999999 +0800 +08,415526.7405143099,6.8400000000001455,44129.66989776001,2.7299999999995634,4590.45391814,0.05999999999949068
2019-06-19 00:01:03.999999999 +0800 +08,415895.0534991698,6.670000000000073,40096.46122810001,2.7299999999995634,2880.54213592,0.6499999999996362
2019-06-19 00:01:05.999999999 +0800 +08,409315.0272838995,6.670000000000073,45730.41839413001,2.720000000001164,8825.757170129998,0.5400000000008731
2019-06-19 00:01:07.999999999 +0800 +08,403741.8359754895,6.670000000000073,26263.14033047,0.7700000000004366,2295.70760969,0.37999999999919964
2019-06-19 00:01:09.999999999 +0800 +08,378250.3897782198,6.6599999999998545,26014.21830408,2.569999999999709,7421.757470200001,1.9200000000000728
2019-06-19 00:01:11.999999999 +0800 +08,366314.6581267097,6.520000000000437,27953.78691900001,2.569999999999709,6530.022533060001,1.9000000000014552
2019-06-19 00:01:13.999999999 +0800 +08,360219.08958063973,6.440000000000509,29141.14136052001,2.460000000000946,4067.8965774400003,1.2399999999997817
2019-06-19 00:01:15.999999999 +0800 +08,358872.2875808697,6.440000000000509,25312.943195829997,2.319999999999709,4997.559005439999,1.9099999999998545
2019-06-19 00:01:17.999999999 +0800 +08,355608.62821682997,5.459999999999127,32389.37239584,2.140000000001237,9372.136809700001,1.6500000000014552
2019-06-19 00:01:19.999999999 +0800 +08,363786.1738812601,5.420000000000073,38207.41526685,3.210000000000946,13239.800341209999,3.0500000000010914
2019-06-19 00:01:21.999999999 +0800 +08,376451.91616736,4.040000000000873,63664.32028393,3.210000000000946,31986.92755014,0.2600000000002183
2019-06-19 00:01:23.999999999 +0800 +08,414821.41335581994,3.9500000000007276,98632.91115199,3.210000000000946,39036.4874455,2.0799999999999272
2019-06-19 00:01:25.999999999 +0800 +08,405119.20078404027,4.649999999999636,124783.68760623998,4.649999999999636,31148.335459690003,3.5199999999986176
2019-06-19 00:01:27.999999999 +0800 +08,374331.94895546994,4.649999999999636,120736.56880133,4.649999999999636,5325.018004789999,2.5200000000004366
2019-06-19 00:01:29.999999999 +0800 +08,385356.2768230998,4.649999999999636,121241.49881717,4.639999999999418,13744.730357049999,3.110000000000582
2019-06-19 00:01:31.999999999 +0800 +08,410914.73725143983,5.520000000000437,118452.61324150999,5.25,29198.041974480006,3.9799999999995634
2019-06-19 00:01:33.999999999 +0800 +08,371411.2341238899,6.229999999999563,81520.51725836002,5.569999999999709,2104.39146235,4.309999999999491
2019-06-19 00:01:35.999999999 +0800 +08,371566.1847129798,6.229999999999563,56660.71284812,5.569999999999709,6288.531049449999,2.890000000001237
2019-06-19 00:01:37.999999999 +0800 +08,370824.7121385399,6.989999999999782,54347.58021735998,6.329999999999927,3011.8853740299996,3.0499999999992724
2019-06-19 00:01:39.999999999 +0800 +08,365591.4537619198,6.989999999999782,45317.14773831999,5.449999999998909,4714.297878009999,0.6700000000000728
